,Spliced Height,Iv,Qp
0,16,2.723798558070349,25051566.718644455
1,20,2.946942109384559,49530746.06657713
2,24,3.1292636661785136,85353819.218621
3,28,3.2834143460057716,134157866.33536504
4,32,3.4169457386302944,197437630.98441383
5,36,3.5347287742866778,276572668.6401251
6,40,3.640089289944504,372847017.8159084
7,44,3.7353994697488293,487463964.75799274
8,48,3.822410846738459,621557445.3192433
9,52,3.9024535544119954,776201058.0117061
10,56,3.976561526565717,952415328.9224504
11,60,4.045554398052668,1151173664.933924
12,64,4.11009291919024,1373407301.5212836
13,68,4.170717541006675,1620009465.5998964
14,72,4.227875954846623,1891838915.6747875
15,76,4.281943176116899,2189722981.023303
16,80,4.33323647050445,2514460192.8075423
17,84,4.382026634673881,2866822579.0867667
18,88,4.428546650308775,3247557680.244966
19,92,4.472998412879608,3657390329.7539682
20,96,4.515558027298404,4097024236.3702297
21,100,4.55638002181866,4567143397.063867
22,104,4.59560073497194,5068413364.676847
23,108,4.633341062954788,5601482390.129147
24,112,4.669708707125663,6166982455.666533
25,116,4.704800026936932,6765530212.97385
26,120,4.738701578612614,7397727837.815672
27,124,4.771491401435605,8064163811.102337
28,128,4.803240099750185,8765413634.829687
29,132,4.834011758416938,9502040490.141651
30,136,4.86386472156662,10274595843.766367
31,140,4.892852258439873,11083620008.240679
32,144,4.9210231354065685,11929642660.634134
33,148,4.9484221095946825,12813183323.887886
34,152,4.975090356676844,13734751814.377619
35,156,5.001065843080105,14694848658.876944
36,160,5.026383651064395,15693965483.726723
37,164,5.051076263654767,16732585378.695675
38,168,5.075173815233827,17811183237.741837
39,172,5.098704312644021,18930226078.643692
40,176,5.12169383086872,20090173343.261467
41,180,5.144166686720778,21291477180.006042
42,184,5.166145593439554,22534582709.933117
43,188,5.187651798660517,23819928277.73909
44,192,5.208705207858349,25147945688.811615
45,196,5.2293244950610855,26519060433.37727
46,200,5.249527202378605,27933691898.692158
47,204,5.269329829674784,29392253570.134228
48,208,5.288747915531886,30895153221.979557
49,212,5.30779611050258,32442793098.575195
50,216,5.326488243514733,34035570086.560825
51,220,5.34483738218293,35673875878.73475
52,224,5.362855887685607,37358097130.11164
53,228,5.380555464785009,39088615606.67309
54,232,5.397947207496878,40865808327.27317
55,236,5.415041640856178,42690047699.12395
56,240,5.431848759172559,44561701647.25243
57,244,5.44837806112377,46481133738.29212
58,248,5.46463858199555,48448703298.94261
59,252,5.480638923341991,50464765529.40879
60,256,5.49638728031013,52529671612.10564
